short_code,trap_date,date ,month,month_year,year,site,lat,lon,collect_time,trap_temp,trap_wind,trap_humidity,collect_temp,collect_wind,collect_humidity,rain_vol,trap_duration,species,no_flies,vol_TRIzol,crushed_TRIzol,extr_complete,RT_complete,chaq,chaq_sh,Cherry Gardens Virus,Craigies Hill Virus (NVL),Craigies Hill Virus (674_100F),Dimm_Nora_A,Dimm_Nora_B,Dimm_SV_L,Dimm_SV_N,galbut_virus_407,muthill_sh,muthill_suz,Pow Burn Virus,Coreseley Virus,Craigmillar Park Virus (seg1),Craigmillar Park Virus (seg2),grom_virus_728,Lye Green Virus,motts_mill_221,mel_nora_6220,mel_nora_qPCR,prestney_burn_B,prestney_burn_sh,DAV (2),Bloomfield Virus (Segment 4),Bloomfield Virus (Segment 7),Dansoman Virus,Dsub_nora_1665,Subobscura Rhabdovirus,Kinkell virus,Buckhurst Virus,Withyham virus,Larkfield Virus,Eccles Virus,Newington Virus,Inveresk Virus,Sighthill Virus (L),Sighthill Virus (M),Vogrie Virus (seg 1),Vogrie Virus (seg 5),Vogrie Virus (seg 2),tranent_L,tranent_M,tranent_S,Lasswade Virus,Oxenfoord Virus,Cockenzie Virus,Braidieburn Virus,Dalkeith Virus,Crammond Virus,L1_Bunyavirus,L2_Bunyavirus,L3_Bunyavirus,L4_Bunyavirus,L4_Bunyavirus (sh),S_bunyavirus
18_10_IN_sub_1,20/10/2018,20/10/2018,oct,oct_18,2018,IN,55.56696,-3.23888,12:22,13,12,88,12,22,76,0.5,5,sub,1,100,Y,Y,Y,A,A,,,,A,A,A,A,A,A,A,,,,,P,,A,A,A,A,P,,,,,A,,,,,,,,,,,,,,A,A,A,,,,,,,,,,,,
18_10_EL_imm_1,20/10/2018,20/10/2018,oct,oct_18,2018,EL,55.573166,-2.515239,11:51,13,12,88,10,22,76,0.5,5,imm,1,100,Y,Y,Y,A,A,,,,A,A,A,A,A,A,A,,,,,A,,A,A,A,A,A,,,,,A,,,,,,,,,,,,,,A,A,A,,,,,,,,,,,,
18_10_EL_imm_4,20/10/2018,20/10/2018,oct,oct_18,2018,EL,55.573166,-2.515239,11:51,13,12,88,10,22,76,0.5,5,imm,4,100,Y,Y,Y,A,A,,,,A,A,P,P,A,A,A,,,,,A,,A,A,A,A,A,,,,,A,,,,,,,,,,,,,,A,A,A,,,,,,,,,,,,
18_10_EL_obs_1,20/10/2018,20/10/2018,oct,oct_18,2018,EL,55.573166,-2.515239,11:51,13,12,88,10,22,76,0.5,5,obs,1,100,Y,Y,Y,A,A,,,,A,A,A,A,A,A,A,,,,,P,,A,A,A,A,A,,,,,A,,,,,,,,,,,,,,A,A,A,,,,,,,,,,,,
18_10_EL_sub_1A,20/10/2018,20/10/2018,oct,oct_18,2018,EL,55.573166,-2.515239,11:51,13,12,88,10,22,76,0.5,5,sub,1,100,Y,Y,Y,A,A,,,,A,A,A,A,A,A,A,,,,,P,,A,A,A,P,P,,,,,A,,,,,,,,,,,,,,A,A,A,,,,,,,,,,,,
18_10_EL_sub_1B,20/10/2018,20/10/2018,oct,oct_18,2018,EL,55.573166,-2.515239,11:51,13,12,88,10,22,76,0.5,5,sub,1,100,Y,Y,Y,A,A,,,,A,A,A,A,A,A,A,,,,,A,,A,A,A,P,P,,,,,A,,,,,,,,,,,,,,A,A,A,,,,,,,,,,,,
18_10_EL_sil_1,20/10/2018,20/10/2018,oct,oct_18,2018,EL,55.573166,-2.515239,11:51,13,12,88,10,22,76,0.5,5,sil,1,100,Y,Y,Y,A,A,,,,A,A,A,A,A,A,A,,,,,A,,A,A,A,A,P,,,,,A,,,,,,,,,,,,,,A,A,A,,,,,,,,,,,,
18_10_VG_mel_1,20/10/2018,20/10/2018,oct,oct_18,2018,VG,55.512707,-3.0074,12:51,12,12,88,10,22,74,0.5,5,mel,1,100,Y,Y,Y,A,P,,,,A,A,A,A,P,A,A,,,,,A,,P,A,A,A,P,,,,,A,,,,,,,,,,,,,,A,A,A,,,,,,,,,,,,
18_10_VG_imm_1A,20/10/2018,20/10/2018,oct,oct_18,2018,VG,55.512707,-3.0074,12:51,12,12,88,10,22,74,0.5,5,imm,1,100,Y,Y,Y,A,A,,,,A,A,A,A,A,A,A,,,,,A,,A,A,A,A,A,,,,,A,,,,,,,,,,,,,,A,A,A,,,,,,,,,,,,
18_10_VG_imm_1B,20/10/2018,20/10/2018,oct,oct_18,2018,VG,55.512707,-3.0074,12:51,12,12,88,10,22,74,0.5,5,imm,1,100,Y,Y,Y,A,A,,,,A,A,P,A,A,A,A,,,,,A,,A,A,A,A,A,,,,,A,,,,,,,,,,,,,,A,A,A,,,,,,,,,,,,
